Danske navn;Latinske navn;Engelske navn
Urfugl;Tetrao tetrix;Black Grouse
Sort Urfugl;Tetrao mlokosiewiczi;Caucasian Black Grouse
Tjur;Tetrao urogallus;Western Capercaillie
Kaukasisk Kongehøne;Tetraogallus caucasicus;Caucasian Snowcock
Kaspisk Kongehøne;Tetraogallus caspius;Caspian Snowcock
Chukarhøne;Alectoris chukar;Chukar Partridge
Stenhøne;Alectoris graeca;Rock Partridge
Rødhøne;Alectoris rufa;Red-legged Partridge
Berberhøne;Alectoris barbara;Barbary Partridge
Si-si Ørkenhøne;Ammoperdix griseogularis;See-see Partridge
Ørkenhøne;Ammoperdix heyi;Sand Partridge
Sort Frankolin;Francolinus francolinus;Black Francolin
Stribet Frankolin;Francolinus bicalcaratus;Double-spurred Francolin
Rødehavs-bjergfrankolin;Francolinus erckelii;Erckel’s Francolin
Agerhøne;Perdix perdix;Grey Partridge
Vagtel;Coturnix coturnix;Common Quail
Kongefasan;Syrmaticus reevesii;Reeves’s Pheasant
Fasan;Phasianus colchicus;Common Pheasant
Guldfasan;Chrysolophus pictus;Golden Pheasant
Amherstfasan;Chrysolophus amherstiae;Lady Amherst’s Pheasant
Perlehøne;Numida meleagris;Helmeted Guineafowl
Californisk Topvagtel;Callipepla californica;California Quail
Bobwhite;Colinus virginianus;Northern Bobwhite
Europæisk Løbehøne;Turnix sylvatica;Andalusian Hemipode
Vandrikse;Rallus aquaticus;Water Rail
Plettet Rørvagtel;Porzana porzana;Spotted Crake
Sorarørvagtel;Porzana carolina;Sora
Lille Rørvagtel;Porzana parva;Little Crake
Dværgrørvagtel;Porzana pusilla;Baillon’s Crake
Stribet Rørvagtel;Porzana marginalis;Striped Crake
Engsnarre;Crex crex;Corn Crake
Græsrikse;Crex egregia;African Crake
Grønbenet Rørhøne;Gallinula chloropus;Common Moorhen
Lille Rørhøne;Gallinula angulata;Lesser Moorhen
Lille Sultanhøne;Porphyrio alleni;Allen’s Gallinule
Amerikansk Sultanhøne;Porphyrio martinica;Purple Gallinule
Sultanhøne;Porphyrio porphyrio;Purple Swamphen
Blishøne;Fulica atra;Eurasian Coot
Amerikansk Blishøne;Fulica americana;American Coot
Kamblishøne;Fulica cristata;Red-knobbed Coot
Trane;Grus grus;Common Crane
Prærietrane;Grus canadensis;Sandhill Crane
Snetrane;Grus leucogeranus;Siberian Crane
Jomfrutrane;Anthropoides virgo;Demoiselle Crane
Dværgtrappe;Tetrax tetrax;Little Bustard
Nubisk Trappe;Neotis nuba;Nubian Bustard
Kravetrappe;Chlamydotis undulata;Houbara Bustard
Østlig Kravetrappe;Chlamydotis macqueenii;Macqueen’s Bustard
Arabisk Trappe;Ardeotis arabs;Arabian Bustard
Stortrappe;Otis tarda;Great Bustard
Broget Riksesneppe;Rostratula benghalensis;Greater Painted Snipe
Strandskade;Haematopus ostralegus;Eurasian Oystercatcher
Kanarisk Strandskade;Haematopus meadewaldoi;Canarian Oystercatcher
Stylteløber;Himantopus himantopus;Black-winged Stilt
Klyde;Recurvirostra avosetta;Pied Avocet
Krabbeæder;Dromas ardeola;Crab-plover
Triel;Burhinus oedicnemus;Eurasian Stone-curlew
Senegaltriel;Burhinus senegalensis;Senegal Thick-knee
Krokodillevogter;Pluvianus aegyptius;Egyptian Plover
Ørkenløber;Cursorius cursor;Cream-coloured Courser
Rødvinget Braksvale;Glareola pratincola;Collared Pratincole
Orientbraksvale;Glareola maldivarum;Oriental Pratincole
Sortvinget Braksvale;Glareola nordmanni;Black-winged Pratincole
Lille Præstekrave;Charadrius dubius;Little Ringed Plover
Stor Præstekrave;Charadrius hiaticula;Common Ringed Plover
Amerikansk Præstekrave;Charadrius semipalmatus;Semipalmated Plover
Kildire;Charadrius vociferus;Killdeer
Kittlitz’ Præstekrave;Charadrius pecuarius;Kittlitz’s Plover
Trebåndet Præstekrave;Charadrius tricollaris;Three-banded Plover
Hvidbrystet Præstekrave;Charadrius alexandrinus;Kentish Plover
Mongolsk Præstekrave;Charadrius mongolus;Lesser Sand Plover
Ørkenpræstekrave;Charadrius leschenaultii;Greater Sand Plover
Kaspisk Præstekrave;Charadrius asiaticus;Caspian Plover
Gobipræstekrave;Charadrius veredus;Oriental Plover
Pomeransfugl;Charadrius morinellus;Eurasian Dotterel
Sibirisk Hjejle;Pluvialis fulva;Pacific Golden Plover
Amerikansk Hjejle;Pluvialis dominica;American Golden Plover
Hjejle;Pluvialis apricaria;European Golden Plover
Strandhjejle;Pluvialis squatarola;Grey Plover
